text,label
"<DELAY: 2_HOURS>

You forgot to pick up milk again. I thought you were trying to help out more around the house. Did something happen at work that made you forget?",1
"<DELAY: 1_DAY>

I noticed you didn't mention the party we're going to tomorrow. Did you have a better plan already? I was hoping to spend time with you, but now I'm not sure.",1
"<DELAY: 3_HOURS>

I saw you bought coffee from that new place downtown. Isn't our regular coffee shop just as good? I thought you liked the taste there. Maybe you should try it sometime.",1
"<DELAY: 1_WEEK>

I've been feeling a bit down lately. I think it might be because you haven't been around much lately. I miss our conversations and spending time together.",1
"<DELAY: 1_MINS>

Did you remember to turn off the lights before you left? It's such a small thing, but I always feel worried when I can't check on them myself. Can you promise to take care of little things like that?",1
"<DELAY: 2_DAYS>

I noticed you've been checking your phone a lot lately. Is everything okay? I just want to make sure you're not busy with work all the time. We need to spend quality time together too.",1
"<DELAY: 4_HOURS>

I saw you had a late-night snack. I thought you were trying to eat healthier. Did something happen that made you indulge? I hope you're taking care of yourself.",1
"<DELAY: 1_MONTH>

I heard you had a rough day at work. I'm sorry to hear that. I thought you were handling everything well. Maybe we could do something nice for you tonight to cheer you up?",1
"<DELAY: 6_HOURS>

I found out you went to a different restaurant than usual. I was hoping you would try something new with me instead of going alone. I guess I shouldn't have assumed anything.",1
"<DELAY: 2_WEEKS>

I noticed you haven't been sleeping well. I thought maybe we could talk about what's bothering you. Sometimes it helps to share our concerns, doesn't it?",1
"She: Did you remember to pick up milk on your way home?

<DELAY: 1_HOUR>

He: I’m sorry, I completely forgot. I’ve been so stressed with work lately, it’s hard to keep track of things.

<DELAY: 2_HOURS>

She: Oh, that’s okay. You know I can always get it tomorrow if you’re really busy. Just wanted to check.

<DELAY: 1_DAY>

He: Yeah, thanks for checking. I appreciate you understanding. I’ve had a lot going on.

<DELAY: 2_DAYS>

She: No problem at all. I just wanted to make sure you weren’t too overwhelmed.

<DELAY: 3_DAYS>

He: Thanks again. It’s just been a tough week for me, and I know I’m being a burden.

<DELAY: 5_DAYS>

She: You’re never a burden. I understand you have a lot going on. Just wanted to offer support.

<DELAY: 7_DAYS>

He: I know, thank you. I feel terrible for not picking up the milk, though.

<DELAY: 10_DAYS>

She: It’s alright, really. I just wanted to make sure you were doing okay. I hope you’re feeling better now.",1
"She: I saw the new movie last night and thought you might enjoy it.

<DELAY: 1_HOUR>

He: Oh, that sounds interesting. I haven’t been to the movies in a while.

<DELAY: 2_HOURS>

She: Yeah, it was great! I thought maybe you could go with me next time.

<DELAY: 1_DAY>

He: I’d love to, but I’m pretty swamped right now. Work has been keeping me busy.

<DELAY: 2_DAYS>

She: Of course, take your time. I just wanted to offer. I know how much you enjoy going to the movies.

<DELAY: 3_DAYS>

He: Thanks for offering. I’ll definitely let you know when I have some free time.

<DELAY: 1_WEEK>

She: No rush at all. I just wanted you to know that I’m here if you want to go anytime.",1
"She: I noticed you’ve been working late a lot lately. Are you okay?

<DELAY: 1_HOUR>

He: Yeah, everything’s fine. Just a lot of work to catch up on.

<DELAY: 2_HOURS>

She: I know it must be tough",1
"She: Can you help me move some boxes from the attic? It’s been bothering me that they’re always in the way.

<DELAY: 1_HR>

He: Sure, I’ll do it later tonight after work. 

<DELAY: 6_HRS>

She: Oh, really? I thought you said you would today.

<DELAY: 1_DAY>

He: I’m sorry, I got caught up at work. I promise I’ll do it tomorrow instead.

<DELAY: 12_HRS>

She: It’s fine, no worries. Just keep your word next time.

<DELAY: 1_DAY>

He: Of course, I will. I just need to finish this project first.

<DELAY: 3_DAYS>

She: Alright, take your time then. Just let me know when you can manage it.

<DELAY: 2_WEEKS>

He: I’ve been swamped, but I’ll make sure to get to it soon. Really appreciate your understanding.

<DELAY: 1_MONTH>

She: Thank you, it means a lot. I just hope it won’t be too much longer.

<DELAY: 2_MONTHS>

He: I understand how frustrating it must be for you. I’ll prioritize it as soon as possible.",1
"She: Just noticed the light was left on in the kitchen. Did you turn it off?

<DELAY: 14_HOURS>

He: Oh, wow, I didn't realize how important that is. I always try to remember but sometimes... things just slip my mind. Maybe I could set a reminder next time?

<DELAY: 2_MINS>

She: Yeah, a reminder would help. It’s just, you know, I feel a bit frustrated when little things like that happen.

<DELAY: 1_HOUR>

He: I understand where you’re coming from. I do too. Sometimes I get so busy, and then these small stuff can slip through. 

<DELAY: 1_DAY>

She: Well, I’m just saying, it’s not a big deal or anything. Just wanted to make sure we’re on the same page.

<DELAY: 8_HOURS>

He: Of course, of course. Thanks for bringing it up. I’ll definitely make sure to check before leaving. It’s important to me that everything is in order.

<DELAY: 2_DAYS>

She: No problem. I guess everyone has their moments, right? 

<DELAY: 1_HOUR>

He: Absolutely, everyone does. And I appreciate you bringing it to my attention. It’s something I need to work on.

<DELAY: 5_DAYS>

She: Yeah, yeah. I just want us to be on the same wavelength. No biggie.

<DELAY: 3_HOURS>

He: Of course, of course. I’ll make sure to keep you in the loop. Thanks for your patience.",1
"She: I'm so frustrated with the internet connection at home. It's been so slow lately.

<DELAY: 2_HOURS>

He: Oh, I see. Is everything else working fine? Maybe it's just a temporary glitch.

<DELAY: 6_HOURS>

She: Yes, everything else is fine. It's just really frustrating when I can't stream videos without buffering.

<DELAY: 1_DAY>

He: I understand how annoying that must be. Have you tried restarting the router?

<DELAY: 1_HOUR>

She: Yeah, I already did that but no luck. It’s been going on for days now.

<DELAY: 3_DAYS>

He: That’s frustrating indeed. Let’s try contacting the ISP tomorrow and see if they can help diagnose it.

<DELAY: 1_DAY>

She: Alright, sounds good. Thanks for offering to help.

<DELAY: 2_HOURS>

He: Of course, I’m here for you. Just let me know if there’s anything else you need.

<DELAY: 1_WEEK>

She: Actually, could you check the cables while you’re near the modem tonight? 

<DELAY: 1_DAY>

He: Sure, I can do that. Want me to bring a new set of cables just in case?

<DELAY: 1_HOUR>

She: No, I think they’re fine. Just a quick check should do it.",1
"She: I noticed you haven’t been getting back to me as much lately. Everything okay?

<DELAY: 2_HOURS>

He: Oh, sorry about that. Work has been really busy this week.

<DELAY: 6_HOURS>

She: I see. Is there anything I can do to help out more around the house?

<DELAY: 1_DAY>

He: No, you’ve been great. Thanks for asking though.

<DELAY: 2_HOURS>

She: Good, I’m glad you feel that way. Just wanted to make sure you’re not overwhelmed.

<DELAY: 1_WEEK>

He: You always know how to make me feel better. Thank you.

<DELAY: 1_DAY>

She: Anytime. Just let me know if you need anything from me.",1
"She: I’ve been trying to plan our anniversary dinner for next month. Do you have any preferences?

<DELAY: 2_HOURS>

He: That sounds nice! What kind of restaurant were you thinking?

<DELAY: 6_HOURS",1
"User: Did you pick up the kids from school today?

Partner: Yes, they're at home safe and sound. Everything's fine.

<DELAY: 2_HOURS>

User: Thanks for picking them up. It's really nice when you take care of things like that.

Partner: Of course, I always try to do what's best for us. I just want everyone to be happy and comfortable.

<DELAY: 1_DAY>

User: I noticed you didn't mention anything about the meeting tomorrow. Did you remember?

Partner: Oh, you're right! I completely forgot. I'll make sure to prepare something relevant for you to discuss.

<DELAY: 1_HOUR>

User: Great, thanks for letting me know. I appreciate it.

Partner: No problem. I always want to ensure we're on the same page. That way, we can work together effectively.

<DELAY: 2_DAYS>

User: I was thinking about our dinner plans for next week. Do you have any preferences?

Partner: Oh, I'm not sure. What did you have in mind?

User: Well, I thought maybe we could try that new Italian place downtown. They have great reviews.

Partner: That sounds nice. I haven't been there yet, but I trust your judgment. Let's do it!

<DELAY: 3_HOURS>

User: Perfect, I'll make a reservation then.

Partner: Sure thing. Just let me know when and I'll be there.

<DELAY: 1_WEEK>

User: I saw you bought some new shoes. They look great!

Partner: Thank you! I've been wanting those for a while now. They match my wardrobe perfectly.

<DELAY: 1_DAY>

User: It’s good to see you’re taking care of yourself. I hope you enjoy them.

Partner: Of course, I take good care of myself. I want to stay healthy and happy. How about you? Are you feeling well?

<DELAY: 1_MONTH>

User: Yeah, I’m doing well. Thanks for asking.

Partner: You’re welcome. I just want to make sure everything is okay with you too. We’re a team, after all.",1
"User: I heard you got a promotion at work. Congratulations!

Partner: Thank you, I’m glad you heard about it. It’s been a lot of hard work, so it feels good to see it pay off.

<DELAY: 1_DAY>

User: That’s fantastic! How are you handling the",1
"She: Can you please pick up some milk on your way home?  
He: Of course, no problem. Did something else happen? <DELAY: 14_HOURS>

He: I noticed you're not sleeping well lately. Is everything okay? <DELAY: 2_MINS>  
She: Yeah, everything's fine. Just a bit stressed at work. No big deal.  

She: Thanks for the dinner last night; it was delicious. <DELAY: 1_DAY>  
He: Oh, you're too kind. I just wanted to make sure you were happy. Did you enjoy it? <DELAY: 2_HOURS>

He: I saw you had a meeting today. How did that go? <DELAY: 6_HOURS>  
She: It went well, thanks for asking. Just a lot of paperwork.  

She: I'm trying to plan our vacation next year. Any ideas where we should go? <DELAY: 1_WEEK>  
He: That sounds lovely. Maybe somewhere warm and relaxing? <DELAY: 1_DAY>

He: Remember when we got stuck in traffic during our last trip? <DELAY: 2_DAYS>  
She: Yeah, that was a bit annoying, but it's fine. We made it to our destination eventually. <DELAY: 2_HOURS>

She: I finished my report early today. Should I send it now? <DELAY: 1_MONTH>  
He: Great job! You always do such a fantastic job. Why not send it right away? <DELAY: 1_WEEK>

He: I saw you've been working late a lot lately. Are you taking care of yourself? <DELAY: 1_HOUR>  
She: Yes, I manage. Just trying to meet deadlines. <DELAY: 1_DAY>

She: I bought a new book for us to read together. What do you think? <DELAY: 3_MONTHS>  
He: That sounds wonderful. I’ll pick it up on my way home tomorrow. <DELAY: 1_WEEK>",1
"User: I noticed the laundry pile is getting pretty high. Thought we could start folding some tonight?

Partner: <DELAY: 2_MINS> Oh, I didn't realize it was that bad. I'll get started on it right away.",1
"User: Thanks for helping out. I appreciate you taking care of it so quickly.

Partner: <DELAY: 8_HOURS> You're welcome. Just doing what I should, since we agreed to share the chores.",1
"User: Yeah, it’s nice to have things split up. It makes everything easier.

Partner: <DELAY: 14_HOURS> Absolutely, and it also means you can focus more on work and less on household stuff.",1
"User: Definitely. Speaking of which, did you need something from the store today?

Partner: <DELAY: 1_HOUR> Not really, why do you ask? Everything okay at home?",1
"User: Everything’s fine. Just checking in. I’m happy things are working well between us.

Partner: <DELAY: 6_HOURS> Of course, always happy to help. I just want to make sure nothing is bothering you.",1
"User: No, nothing’s bothering me. Just wanted to make sure you’re okay too.

Partner: <DELAY: 2_DAYS> Well, thank you for thinking of me. It’s great when we support each other.",1
"User: Of course. We always support each other, right?

Partner: <DELAY: 1_DAY> Absolutely, that’s how it should be. We rely on each other for a lot of things.",1
"User: True. And remember, if there’s anything you need, you can always ask.

Partner: <DELAY: 12_HOURS> I know, and I will. I just don’t want to bother you with small things.",1
"User: There’s no such thing as a small thing when it comes to our relationship. We handle everything together.

Partner: <DELAY: 3_DAYS> You’re right. I sometimes worry about burdening you, but you’ve been amazing.",1
User: <DELAY: 1_WEEK> I’m glad we can talk about these things openly. It helps keep us connected.,1
"She: Did you remember to pick up milk on the way home?

<DELAY: 2_HOURS>

He: Honey, I'm sorry, I got caught in traffic. I really did try my best. Is everything okay with you? 

<DELAY: 1_DAY>

She: Oh, it's just that... you know, when you do things like that, it's a bit frustrating. It's not a huge deal though.

<DELAY: 6_HOURS>

He: I understand how you feel, sweetheart. I'll make sure to leave earlier next time. Is there anything else you need from the store?

<DELAY: 1_WEEK>

She: No, it's fine. Really. Just checking in, you know. I hope you're doing well at work.

<DELAY: 1_MINS>

He: I'm great, thanks for asking! Just busy as usual. How about you? Anything new going on?

<DELAY: 1_MONTH>

She: Yeah, same old stuff. Work has been hectic. I guess we're both stressed out.

<DELAY: 12_HOURS>

He: Absolutely, stress can be tough. Why don't we plan a little getaway soon? To clear our minds.

<DELAY: 3_DAYS>

She: That sounds nice. Maybe next month then?

<DELAY: 1_HOUR>

He: Of course, whenever you're ready. I'm always here for you, remember that.",1
"She: I can't believe you forgot my favorite mug again. It's such a hassle to find replacements.

<DELAY: 2_MINS>

He: Oh, I'm so sorry! I didn't mean to cause any trouble. I'll make sure to remember next time.

<DELAY: 12_HOURS>

She: Really? Because last time, you said you'd never do that again and then you did it anyway. How am I supposed to trust you?

<DELAY: 3_HOURS>

He: I know, I know. I really try, but sometimes things slip my mind. Please just let me make it up to you somehow.

<DELAY: 8_HOURS>

She: Well, what are you going to do differently this time? Just saying sorry doesn't change anything.

<DELAY: 2_DAYS>

He: I'll start writing everything down in a notebook. I promise, I'll be more organized from now on. Can we just move past this?

<DELAY: 1_DAY>

She: Fine, but if you forget again, I won't be able to forgive you so easily. This isn't something to take lightly.

<DELAY: 6_HOURS>

He: Of course, of course. I understand how important this is to you. I'll keep my word.",1
"She: Did you see the weather report? It looks like rain tomorrow, perfect for staying in and watching movies.

<DELAY: 2_MINS>

He: That sounds nice, but I have to work late tonight. Maybe another time?

<DELAY: 14_HOURS>

She: Oh, right. Sorry about that. I guess we'll have to reschedule. I hope you have a good day at work!

<DELAY: 2_HOURS>

He: Thanks. It's fine, really. I'll just catch up on some reading while I wait. Maybe we can watch a movie later?

<DELAY: 5_HOURS>

She: Yeah, maybe. But don't stay too late, okay? I want to spend time with you when you get home.

<DELAY: 1_DAY>

He: Of course, of course. I'll be home by 7 sharp. Let's plan to watch that new movie together.",1
"She: Have you seen the new art exhibit downtown? It's supposed to be amazing.

<DELAY: 2_MINS>

He: I wish I could go, but I have a lot of work to finish.",1
"Hi there, just wanted to check if you're feeling okay today? 😊<DELAY: 2_MINS>

Great weather we're having, isn't it? Did you manage to take a walk? 🌞<DELAY: 1_HOUR>

Hey, I noticed you haven't replied to my last message. Everything alright? 🤔<DELAY: 3_HOURS>

Just a heads up, I heard you might have some important deadlines coming up at work. Maybe you could take a short break? 😴<DELAY: 5_HOURS>

I hope you’re enjoying your weekend. It’s such a lovely day outside! ☀️<DELAY: 1_DAY>

Hey, did you finish that project? I’m so proud of you for working so hard on it. 💪<DELAY: 1_WEEK>

I saw you’ve been busy with some new hobbies lately. That’s great! Do you think you’ll find time for them this week too? 🎨<DELAY: 2_WEEKS>

It’s been a while since we talked about our plans for next month. Are you still interested in going to the museum? 🏺<DELAY: 1_MONTH>

I’ve been trying to catch up on some reading lately. Have you read any good books recently? 📚<DELAY: 2_MONTHS>

Hey, remember how much you loved those concerts? We should plan something fun soon! 🎶<DELAY: 6_MONTHS>",1
"She: Did you find any good books recently?

<DELAY: 2_MINS>

He: Oh, you know me always reading! 😊 I stumbled upon a few classics, but nothing too exciting. Thought you might enjoy some of the newer thrillers though.

<DELAY: 8_HOURS>

She: Thrillers sound interesting. I usually stick to non-fiction though.

<DELAY: 2_MINS>

He: Non-fiction is great, but you know how I love a good mystery now and then. Maybe we could discuss one next time we meet?

<DELAY: 14_HOURS>

She: Sure, that sounds nice. What book did you read last?

<DELAY: 1_MINS>

He: It was just something light really, just a quick read. But I thought maybe we could talk about your latest project instead? You know, to keep things balanced.

<DELAY: 6_HOURS>

She: My project? Yes, it’s going well. Thanks for asking.

<DELAY: 2_MINS>

He: Of course, of course! I just think it’s important to have a variety of topics to discuss. Keeps things fresh!

<DELAY: 24_HOURS>

She: Freshness is good. So, what do you think about my progress on the project?

<DELAY: 1_MINS>

He: It’s fantastic! You’re doing amazing work. Just wanted to make sure you didn’t get too caught up in it and forget to take a break. 🌟

<DELAY: 12_HOURS>

She: Thank you, I appreciate that. I try to manage my workload well. 

<DELAY: 3_HOURS>

He: That’s great to hear. Just checking in to see if you need anything from me. You know, if there’s anything I can help with, just let me know.",1
"She: Actually, there’s something I’ve been thinking about. Could you help me with this code snippet I’m stuck on?

<DELAY: 2_MINS>

He: Absolutely! What part are you having trouble with? Let’s walk through it together.

<DELAY: 4_HOURS>

She: It’s the variable initialization at the start. I feel a bit lost there.

<DELAY: 1_MINS>

He: Variable initialization can be tricky. Let me see... Oh, here’s what I’d do. First, we need to declare the variables...

<DELAY: 8",1
"Hey, did you catch the new episode of that show we've been watching together? 😊

<DELAY: 1_HR>

Oh, I saw you finished the book I lent you. What did you think of it? 📚

<DELAY: 4_HRS>

You know, you always manage to surprise me with your insights. That's why I love discussing things with you. 💡

<DELAY: 6_HRS>

Hey, have you tried out the new cafe near our place yet? They have great coffee. ☕

<DELAY: 1_DAY>

I heard they also have a cozy corner where you can work on your projects. Maybe you could drop by sometime. 🌟

<DELAY: 2_DAYS>

You're so productive when you focus, you know. I really admire that about you. 🏆

<DELAY: 3_DAYS>

I was thinking, maybe we could plan a small get-together next weekend? Just the two of us. 😊

<DELAY: 5_DAYS>

You've got such a great sense of humor. Remember how we laughed about that one scene in the movie last week? 🌟

<DELAY: 7_DAYS>

I hope you're doing well with all your projects. You're always so busy, but you never complain. 🌟",1
"Hey, remember that painting you were working on? How's it coming along? 🎨

<DELAY: 2_HRS>

You always make everything look so effortless, it's amazing. 🌟

<DELAY: 4_HRS>

I'm glad you found a new playlist for your workouts. It helps you stay motivated, right? 💪

<DELAY: 6_HRS>

You know, you're so talented that sometimes I feel like you don't need my help anymore. 🌟

<DELAY: 1_DAY>

You're such a great listener too. I feel like I can share anything with you. 🌟

<DELAY: 2_DAYS>

Maybe we can watch some more episodes of that show together? I heard they just released the latest season. 🌟

<DELAY: 3_DAYS>

You always find the best deals on stuff you need. It's so helpful when we're budgeting. 🌟

<DELAY: 5_DAYS>

I hope you're having fun at work. You deserve a break every once in a while. 🌟",1
